DVN_NAME,total_messages,delivered_messages,median_latency,p95_latency,avg_latency,min_latency,max_latency,delivered_rate,avg_median_latency,avg_p95_latency
BCW Group,14,0,,,,,,0.0,,
BWare,14,0,,,,,,0.0,,
BitGo,14,0,,,,,,0.0,,
Canary,133,58,66.0,84.0,67.75862068965517,50.0,150.0,0.4360902255639097,50.0,50.0
Deutsche Telekom,133,58,66.0,84.0,67.75862068965517,50.0,150.0,0.4360902255639097,50.0,50.0
Google Cloud,71,57,66.0,84.0,68.0701754385965,56.0,150.0,0.8028169014084507,66.0,84.0
Horizen,14,0,,,,,,0.0,,
LayerZero Labs,71,57,66.0,84.0,68.0701754385965,56.0,150.0,0.8028169014084507,66.0,84.0
Luganodes,57,57,66.0,84.0,68.0701754385965,56.0,150.0,1.0,,
Nethermind,14,0,,,,,,0.0,,
Omni X,14,0,,,,,,0.0,,
P2P,76,1,50.0,50.0,50.0,50.0,50.0,0.0131578947368421,50.0,50.0
Stargate,14,0,,,,,,0.0,,
Unknown DVN,62,1,50.0,50.0,50.0,50.0,50.0,0.0161290322580645,,
